TABLE_NAME	COLUMN_NAME	DATATYPE	NULLABLE	ANONYMIZATION	DEFAULT VALUE
Sales.SalesPerson	Bonus	money	NOT NULL	Omit	
Sales.SalesPerson	CommissionPct	smallmoney	NOT NULL	Omit	
Sales.SalesPerson	SalesYTD	money	NOT NULL	Omit	
Sales.SalesPerson	SalesLastYear	money	NOT NULL	Omit	
Sales.SalesPerson	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesPerson	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesPersonQuotaHistory	BusinessEntityID	int	NOT NULL	Omit	
Sales.SalesPersonQuotaHistory	QuotaDate	datetime	NOT NULL	Omit	
Sales.SalesPersonQuotaHistory	SalesQuota	money	NOT NULL	Omit	
Sales.SalesPersonQuotaHistory	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesPersonQuotaHistory	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesReason	SalesReasonID	int	NOT NULL	Omit	
Sales.SalesReason	Name	nvarchar(50)	NOT NULL	Omit	
Sales.SalesReason	ReasonType	nvarchar(50)	NOT NULL	Omit	
Sales.SalesReason	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesTaxRate	SalesTaxRateID	int	NOT NULL	Omit	
Sales.SalesTaxRate	StateProvinceID	int	NOT NULL	Omit	
Sales.SalesTaxRate	TaxType	tinyint	NOT NULL	Omit	
Sales.SalesTaxRate	TaxRate	smallmoney	NOT NULL	Omit	
Sales.SalesTaxRate	Name	nvarchar(50)	NOT NULL	Omit	
Sales.SalesTaxRate	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesTaxRate	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesTerritory	TerritoryID	int	NOT NULL	Omit	
Sales.SalesTerritory	Name	nvarchar(50)	NOT NULL	Omit	
Sales.SalesTerritory	CountryRegionCode	nvarchar(3)	NOT NULL	Omit	
Sales.SalesTerritory	Group	nvarchar(50)	NOT NULL	Omit	
Sales.SalesTerritory	SalesYTD	money	NOT NULL	Omit	
Sales.SalesTerritory	SalesLastYear	money	NOT NULL	Omit	
Sales.SalesTerritory	CostYTD	money	NOT NULL	Omit	
Sales.SalesTerritory	CostLastYear	money	NOT NULL	Omit	
Sales.SalesTerritory	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesTerritory	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SalesTerritoryHistory	BusinessEntityID	int	NOT NULL	Omit	
Sales.SalesTerritoryHistory	TerritoryID	int	NOT NULL	Omit	
Sales.SalesTerritoryHistory	StartDate	datetime	NOT NULL	Omit	
Sales.SalesTerritoryHistory	EndDate	datetime	NULL	Omit	
Sales.SalesTerritoryHistory	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SalesTerritoryHistory	ModifiedDate	datetime	NOT NULL	Omit	
Sales.ShoppingCartItem	ShoppingCartItemID	int	NOT NULL	Omit	
Sales.ShoppingCartItem	ShoppingCartID	nvarchar(50)	NOT NULL	Omit	
Sales.ShoppingCartItem	Quantity	int	NOT NULL	Omit	
Sales.ShoppingCartItem	ProductID	int	NOT NULL	Omit	
Sales.ShoppingCartItem	DateCreated	datetime	NOT NULL	Omit	
Sales.ShoppingCartItem	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SpecialOffer	SpecialOfferID	int	NOT NULL	Random	
Sales.SpecialOffer	Description	nvarchar(255)	NOT NULL	Omit	
Sales.SpecialOffer	DiscountPct	smallmoney	NOT NULL	RandomPseudonymPerTable	
Sales.SpecialOffer	Type	nvarchar(50)	NOT NULL	Omit	
Sales.SpecialOffer	Category	nvarchar(50)	NOT NULL	RandomFromSet	
Sales.SpecialOffer	StartDate	datetime	NOT NULL	RandomPseudonym	
Sales.SpecialOffer	EndDate	datetime	NOT NULL	Omit	
Sales.SpecialOffer	MinQty	int	NOT NULL	RandomFromSet	
Sales.SpecialOffer	MaxQty	int	NULL	Set Null	
Sales.SpecialOffer	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SpecialOffer	ModifiedDate	datetime	NOT NULL	Omit	
Sales.SpecialOfferProduct	SpecialOfferID	int	NOT NULL	Omit	
Sales.SpecialOfferProduct	ProductID	int	NOT NULL	Omit	
Sales.SpecialOfferProduct	rowguid	uniqueidentifier	NOT NULL	Omit	
Sales.SpecialOfferProduct	ModifiedDate	datetime	NOT NULL	Omit	
Sales.Store	BusinessEntityID	int	NOT NULL	RandomFromSet	
Sales.Store	Name	nvarchar(50)	NOT NULL	Random	
Sales.Store	SalesPersonID	int	NULL	RandomPseudonymFromSet	
Sales.Store	Demographics	XML(Sales.StoreSurveySchemaCollection)	NULL	Omit	
Sales.Store	rowguid	uniqueidentifier	NOT NULL	Random	
Sales.Store	ModifiedDate	datetime	NOT NULL	None	
